unique_id,model,ME,MAE,RMSE,MAPE
28_95,SeasonalNaive,-46.15033333333388,7616.989666666666,10864.149821239887,7.752511266127639
2_90,Naive,-868.049000000004,6491.291666666667,9141.983819894162,6.228252451869022
2_90,SeasonalNaive,-5229.374500000001,5649.663500000001,6700.767130020388,5.488590412943977
2_92,Naive,-1068.7376666666712,18975.727999999996,24114.108766123754,10.917717620930736
2_92,SeasonalNaive,-11046.803166666668,11938.571166666672,13885.22686406834,6.875491630582661
2_95,Naive,1123.620999999998,6629.126333333331,8648.234874615358,4.695438191359327
2_95,SeasonalNaive,-3792.673666666667,6913.624999999998,8290.502862556246,4.732687945815696
31_92,Naive,-1546.8501666666625,13508.720833333333,16624.8086046465,10.14360839928969
31_92,SeasonalNaive,-6648.401666666664,7783.009333333331,9301.343344365907,5.740914844440184
31_95,Naive,1100.6301666666668,5099.274833333333,6537.16416017106,4.824838880511631
31_95,SeasonalNaive,-1277.5751666666667,6671.151166666665,7891.597806452653,6.1030266076673545
32_92,Naive,-1119.9854999999973,8829.182833333332,10982.646524002386,8.333797306889618
32_92,SeasonalNaive,-5755.870666666665,6463.096333333333,7740.412842239961,5.977903332571546
39_92,Naive,-952.8206666666665,9388.073999999999,12340.707028065017,7.436342227638401
39_92,SeasonalNaive,-17896.519999999997,17896.519999999997,18967.693755348853,14.551880200674915
39_95,Naive,55.63750000000073,8600.600166666667,10520.834272704566,7.835534136011532
39_95,SeasonalNaive,-10546.17233333333,10762.891,11928.998924545596,9.810963354404835
3_38,Naive,898.5223333333332,11178.567666666668,13642.146745155373,12.067782061148186
3_38,SeasonalNaive,20370.718,20869.861,23569.90542573283,22.673023565605995
40_92,Naive,1146.3580000000006,13611.841333333336,16500.476463109786,13.508811975850474
40_92,SeasonalNaive,-7460.448833333335,8474.2115,10724.42556924511,7.972322852584039
41_92,Naive,-1845.5836666666662,11199.088666666668,14210.76644081932,8.799209752214194
41_92,SeasonalNaive,-10862.847333333337,11127.754000000003,12487.157677148152,8.749400529047241
4_72,Naive,-70.31999999999995,28782.14866666666,47376.891177520425,24.719519142103447
4_72,SeasonalNaive,-4778.273833333334,14460.0225,19572.134288566107,13.2244422402544
4_92,Naive,-406.17199999999576,17478.530000000002,21380.068702250468,10.121629653822444
4_92,SeasonalNaive,-17565.79566666666,17565.79566666666,18978.422450395163,10.081487087059383
4_95,Naive,293.5393333333358,7426.957000000003,9659.118837182994,4.890576339930252
4_95,SeasonalNaive,-11075.06416666667,11480.558500000003,13349.613145799207,7.435253971360664
6_92,Naive,-1759.7689999999952,11533.160666666663,14623.357184996428,10.942671938531253
6_92,SeasonalNaive,-7344.174000000001,7619.056,8892.258686008483,7.255266582067775
